"","tract_name","pop_total","pop_total_25plus","median_household_income","pop_white","pop_black","pop_amerindian","pop_asian","pop_nativehawaii","pop_otherrace","pop_tworaces","pop_hispanic","mhinc_2544ages","mhinc_4465ages","fips_state_code","fips_county_code","tract","mhinc","pct_popam","pct_popas","pct_pophi","pct_popbl","pct_popwh","pct_pophp","pct_poptr","pct_popothr","pocrace","race_brks_nonwhiteasian","inc_brks"
"10832","Census Tract 3382, Middlesex County, Massachusetts",4065,2934,102222,3060,48,0,785,0,69,60,43,135795,116683,25,17,"338200",252478,0,19.3,1.1,1.2,75.3,0,1.5,1.7,2.3,"0-19%","$200k+"
"10833","Census Tract 3141.02, Middlesex County, Massachusetts",7374,5483,67199,6175,52,0,489,0,50,145,463,84875,90600,25,17,"314102",175475,0,6.6,6.3,0.7,83.7,0,2,0.7,7,"0-19%","$150-199k"
"10834","Census Tract 3152, Middlesex County, Massachusetts",8115,5966,93795,7156,95,12,394,0,19,260,179,98318,104355,25,17,"315200",202673,0.1,4.9,2.2,1.2,88.2,0,3.2,0.2,3.5,"0-19%","$200k+"
"10835","Census Tract 3211, Middlesex County, Massachusetts",6718,5049,87274,5060,168,0,480,0,17,574,419,101359,123125,25,17,"321100",224484,0,7.1,6.2,2.5,75.3,0,8.5,0.3,8.7,"0-19%","$200k+"
"10836","Census Tract 3311.02, Middlesex County, Massachusetts",7330,5125,104845,6455,403,0,228,0,0,116,128,122222,127336,25,17,"331102",249558,0,3.1,1.7,5.5,88.1,0,1.6,0,7.2,"0-19%","$200k+"
"10837","Census Tract 3321, Middlesex County, Massachusetts",6191,4372,125179,5331,13,0,613,0,0,203,31,144453,152827,25,17,"332100",297280,0,9.9,0.5,0.2,86.1,0,3.3,0,0.7,"0-19%","$200k+"
"10838","Census Tract 3335.02, Middlesex County, Massachusetts",3411,2470,75500,2934,208,0,44,0,48,32,145,83224,102589,25,17,"333502",185813,0,1.3,4.3,6.1,86,0,0.9,1.4,10.4,"0-19%","$150-199k"
"10839","Census Tract 3354, Middlesex County, Massachusetts",5337,3886,99125,4982,67,0,74,0,0,41,173,125357,123281,25,17,"335400",248638,0,1.4,3.2,1.3,93.3,0,0.8,0,4.5,"0-19%","$200k+"
"10840","Census Tract 3364.01, Middlesex County, Massachusetts",4744,3500,59980,3389,279,0,462,0,0,150,464,68889,56719,25,17,"336401",125608,0,9.7,9.8,5.9,71.4,0,3.2,0,15.7,"0-19%","$100-149k"
"10841","Census Tract 3397, Middlesex County, Massachusetts",4147,2860,61579,2599,679,0,366,0,6,148,349,87171,49777,25,17,"339700",136948,0,8.8,8.4,16.4,62.7,0,3.6,0.1,24.8,"20-39%","$100-149k"
"10842","Census Tract 3523, Middlesex County, Massachusetts",4261,3283,103538,2297,256,0,844,0,0,286,578,103589,92105,25,17,"352300",195694,0,19.8,13.6,6,53.9,0,6.7,0,19.6,"0-19%","$150-199k"
"10843","Census Tract 3532, Middlesex County, Massachusetts",5131,3648,104563,3010,414,0,1017,0,0,238,452,123472,121750,25,17,"353200",245222,0,19.8,8.8,8.1,58.7,0,4.6,0,16.9,"0-19%","$200k+"
"10844","Census Tract 3101, Middlesex County, Massachusetts",5924,3933,28469,2909,330,104,616,0,44,402,1519,49832,21948,25,17,"310100",71780,1.8,10.4,25.6,5.6,49.1,0,6.8,0.7,33,"20-39%","$50-74k"
"10845","Census Tract 3103, Middlesex County, Massachusetts",6693,3788,40964,3051,881,0,704,0,0,10,2047,47130,51314,25,17,"310300",98444,0,10.5,30.6,13.2,45.6,0,0.1,0,43.8,"40-59%","$75-99k"
